"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2020","62.0560","62.0560","62.0560","62.0560","","0.01%"
"01/04/2020","62.0487","62.0487","62.0487","62.0487","","-0.73%"
"01/03/2020","62.5040","62.5040","62.5040","62.5040","","-0.55%"
"01/02/2020","62.8506","62.8506","62.8506","62.8506","","0.69%"
"01/01/2020","62.4188","62.4188","62.4188","62.4188","","0.95%"
"12/31/2019","61.8298","61.8298","61.8298","61.8298","","2.09%"
"12/30/2019","60.5669","60.5669","60.5669","60.5669","","2.11%"
"12/29/2019","59.3182","59.3182","59.3182","59.3182","","-1.26%"
"12/28/2019","60.0724","60.0724","60.0724","60.0724","","-0.76%"
"12/27/2019","60.5325","60.5325","60.5325","60.5325","","-4.70%"
"12/26/2019","63.5174","63.5174","63.5174","63.5174","","2.96%"
"12/25/2019","61.6905","61.6905","61.6905","61.6905","","0.60%"
"12/24/2019","61.3226","61.3226","61.3226","61.3226","","-0.78%"
"12/23/2019","61.8072","61.8072","61.8072","61.8072","","-0.66%"
"12/22/2019","62.2207","62.2207","62.2207","62.2207","","-3.31%"
"12/21/2019","64.3536","64.3536","64.3536","64.3536","","-1.60%"
"12/20/2019","65.3991","65.3991","65.3991","65.3991","","-2.97%"
"12/19/2019","67.4028","67.4028","67.4028","67.4028","","-0.64%"
"12/18/2019","67.8360","67.8360","67.8360","67.8360","","-0.10%"
"12/17/2019","67.9008","67.9008","67.9008","67.9008","","4.90%"
"12/16/2019","64.7275","64.7275","64.7275","64.7275","","1.44%"
"12/15/2019","63.8114","63.8114","63.8114","63.8114","","0.38%"
"12/14/2019","63.5696","63.5696","63.5696","63.5696","","-0.72%"
"12/13/2019","64.0304","64.0304","64.0304","64.0304","","-3.23%"
"12/12/2019","66.1663","66.1663","66.1663","66.1663","","0.59%"
"12/11/2019","65.7790","65.7790","65.7790","65.7790","","-0.20%"
"12/10/2019","65.9139","65.9139","65.9139","65.9139","","-0.19%"
"12/09/2019","66.0376","66.0376","66.0376","66.0376","","0.29%"
"12/08/2019","65.8467","65.8467","65.8467","65.8467","","1.33%"
"12/07/2019","64.9816","64.9816","64.9816","64.9816","","-0.46%"
"12/06/2019","65.2789","65.2789","65.2789","65.2789","","-5.25%"
"12/05/2019","68.8933","68.8933","68.8933","68.8933","","-0.86%"
"12/04/2019","69.4921","69.4921","69.4921","69.4921","","0.52%"
"12/03/2019","69.1338","69.1338","69.1338","69.1338","","-0.43%"
"12/02/2019","69.4354","69.4354","69.4354","69.4354","","-1.54%"
"12/01/2019","70.5229","70.5229","70.5229","70.5229","","1.92%"
"11/30/2019","69.1923","69.1923","69.1923","69.1923","","-1.35%"
"11/29/2019","70.1412","70.1412","70.1412","70.1412","","-8.28%"
"11/28/2019","76.4707","76.4707","76.4707","76.4707","","-5.32%"
"11/27/2019","80.7676","80.7676","80.7676","80.7676","","1.19%"
"11/26/2019","79.8204","79.8204","79.8204","79.8204","","-1.09%"
"11/25/2019","80.6981","80.6981","80.6981","80.6981","","7.86%"
"11/24/2019","74.8180","74.8180","74.8180","74.8180","","-0.54%"
"11/23/2019","75.2213","75.2213","75.2213","75.2213","","-11.11%"
"11/22/2019","84.6262","84.6262","84.6262","84.6262","","16.59%"
"11/21/2019","72.5841","72.5841","72.5841","72.5841","","5.40%"
"11/20/2019","68.8666","68.8666","68.8666","68.8666","","3.24%"
"11/19/2019","66.7071","66.7071","66.7071","66.7071","","0.90%"
"11/18/2019","66.1144","66.1144","66.1144","66.1144","","2.06%"
"11/17/2019","64.7783","64.7783","64.7783","64.7783","","1.06%"
"11/16/2019","64.0994","64.0994","64.0994","64.0994","","-0.69%"
"11/15/2019","64.5471","64.5471","64.5471","64.5471","","-0.77%"
"11/14/2019","65.0483","65.0483","65.0483","65.0483","","-0.73%"
"11/13/2019","65.5300","65.5300","65.5300","65.5300","","0.06%"
"11/12/2019","65.4888","65.4888","65.4888","65.4888","","0.35%"
"11/11/2019","65.2575","65.2575","65.2575","65.2575","","-0.23%"
"11/10/2019","65.4105","65.4105","65.4105","65.4105","","-0.52%"
"11/09/2019","65.7505","65.7505","65.7505","65.7505","","-0.26%"
"11/08/2019","65.9186","65.9186","65.9186","65.9186","","-2.80%"
"11/07/2019","67.8152","67.8152","67.8152","67.8152","","-4.17%"
"11/06/2019","70.7690","70.7690","70.7690","70.7690","","-0.42%"
"11/05/2019","71.0689","71.0689","71.0689","71.0689","","-0.77%"
"11/04/2019","71.6185","71.6185","71.6185","71.6185","","-1.59%"
"11/03/2019","72.7732","72.7732","72.7732","72.7732","","-0.47%"
"11/02/2019","73.1154","73.1154","73.1154","73.1154","","-1.66%"
"11/01/2019","74.3504","74.3504","74.3504","74.3504","","-2.95%"
"10/31/2019","76.6142","76.6142","76.6142","76.6142","","-0.56%"
"10/30/2019","77.0430","77.0430","77.0430","77.0430","","-4.21%"
"10/29/2019","80.4259","80.4259","80.4259","80.4259","","-8.51%"
"10/28/2019","87.9041","87.9041","87.9041","87.9041","","-5.02%"
"10/27/2019","92.5493","92.5493","92.5493","92.5493","","-1.14%"
"10/26/2019","93.6198","93.6198","93.6198","93.6198","","28.06%"
"10/25/2019","73.1084","73.1084","73.1084","73.1084","","3.82%"
"10/24/2019","70.4171","70.4171","70.4171","70.4171","","-4.60%"
"10/23/2019","73.8123","73.8123","73.8123","73.8123","","4.70%"
"10/22/2019","70.5009","70.5009","70.5009","70.5009","","-0.87%"
"10/21/2019","71.1187","71.1187","71.1187","71.1187","","0.41%"
"10/20/2019","70.8307","70.8307","70.8307","70.8307","","0.60%"
"10/19/2019","70.4057","70.4057","70.4057","70.4057","","-0.92%"
"10/18/2019","71.0610","71.0610","71.0610","71.0610","","-4.09%"
"10/17/2019","74.0923","74.0923","74.0923","74.0923","","-1.32%"
"10/16/2019","75.0862","75.0862","75.0862","75.0862","","-1.85%"
"10/15/2019","76.5031","76.5031","76.5031","76.5031","","-0.84%"
"10/14/2019","77.1524","77.1524","77.1524","77.1524","","-3.09%"
"10/13/2019","79.6117","79.6117","79.6117","79.6117","","0.94%"
"10/12/2019","78.8665","78.8665","78.8665","78.8665","","-0.96%"
"10/11/2019","79.6272","79.6272","79.6272","79.6272","","-0.68%"
"10/10/2019","80.1758","80.1758","80.1758","80.1758","","-1.06%"
"10/09/2019","81.0335","81.0335","81.0335","81.0335","","0.92%"
"10/08/2019","80.2965","80.2965","80.2965","80.2965","","-2.72%"
"10/07/2019","82.5429","82.5429","82.5429","82.5429","","-0.50%"
"10/06/2019","82.9542","82.9542","82.9542","82.9542","","1.37%"
"10/05/2019","81.8326","81.8326","81.8326","81.8326","","-0.63%"
