Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,104.300003,105.650002,104.120003,105.620003,105.620003,0
2023-03-08,105.669998,105.879997,105.370003,105.660004,105.660004,0
2023-03-09,105.620003,105.730003,105.150002,105.309998,105.309998,0
2023-03-10,105.129997,105.349998,104.040001,104.580002,104.580002,0
2023-03-12,null,null,null,null,null,null
2023-03-13,104.389999,104.389999,103.480003,103.599998,103.599998,0
2023-03-14,103.669998,104.050003,103.500000,103.599998,103.599998,0
2023-03-15,103.739998,105.099998,103.440002,104.650002,104.650002,0
2023-03-16,104.620003,104.739998,104.199997,104.419998,104.419998,0
2023-03-17,104.410004,104.449997,103.690002,103.709999,103.709999,0
2023-03-19,null,null,null,null,null,null
2023-03-20,103.860001,103.959999,103.279999,103.279999,103.279999,0
2023-03-21,103.309998,103.519997,103.000000,103.260002,103.260002,0
2023-03-22,103.199997,103.269997,102.070000,102.349998,102.349998,0
2023-03-23,102.500000,102.639999,101.919998,102.529999,102.529999,0
2023-03-24,102.599998,103.360001,102.500000,103.120003,103.120003,0
2023-03-26,null,null,null,null,null,null
2023-03-27,103.120003,103.230003,102.830002,102.860001,102.860001,0
2023-03-28,102.750000,102.760002,102.379997,102.430000,102.430000,0
2023-03-29,102.489998,102.790001,102.370003,102.639999,102.639999,0
2023-03-30,102.620003,102.779999,102.070000,102.139999,102.139999,0
2023-03-31,102.199997,102.629997,102.050003,102.510002,102.510002,0
2023-04-02,null,null,null,null,null,null
2023-04-03,102.589996,103.059998,101.980003,102.089996,102.089996,0
2023-04-04,102.010002,102.279999,101.459999,101.589996,101.589996,0
2023-04-05,101.519997,101.989998,101.419998,101.849998,101.849998,0
2023-04-06,101.830002,102.139999,101.760002,101.820000,101.820000,0
2023-04-09,null,null,null,null,null,null
2023-04-10,102.099998,102.809998,101.989998,102.580002,102.580002,0
2023-04-11,102.519997,102.519997,102.010002,102.199997,102.199997,0
2023-04-12,102.129997,102.160004,101.449997,101.500000,101.500000,0
2023-04-13,101.470001,101.599998,100.849998,101.010002,101.010002,0
2023-04-14,101.000000,101.750000,100.790001,101.550003,101.550003,0
2023-04-16,null,null,null,null,null,null
2023-04-17,101.580002,102.230003,101.529999,102.099998,102.099998,0
2023-04-18,102.099998,102.139999,101.639999,101.750000,101.750000,0
2023-04-19,101.709999,102.230003,101.660004,101.970001,101.970001,0
2023-04-20,101.989998,102.129997,101.629997,101.839996,101.839996,0
2023-04-21,101.800003,102.120003,101.650002,101.820000,101.820000,0
2023-04-23,null,null,null,null,null,null
2023-04-24,101.720001,101.910004,101.330002,101.349998,101.349998,0
2023-04-25,101.260002,101.949997,101.199997,101.860001,101.860001,0
2023-04-26,101.820000,101.889999,101.010002,101.470001,101.470001,0
2023-04-27,101.400002,101.800003,101.279999,101.500000,101.500000,0
2023-04-28,101.470001,102.169998,101.419998,101.669998,101.669998,0
2023-04-30,null,null,null,null,null,null
2023-05-01,101.669998,102.190002,101.620003,102.150002,102.150002,0
2023-05-02,102.150002,102.400002,101.879997,101.959999,101.959999,0
2023-05-03,101.860001,101.919998,101.070000,101.339996,101.339996,0
2023-05-04,101.199997,101.639999,101.029999,101.400002,101.400002,0
2023-05-05,101.339996,101.779999,101.120003,101.209999,101.209999,0
2023-05-07,null,null,null,null,null,null
2023-05-08,101.279999,101.419998,101.040001,101.370003,101.370003,0
2023-05-09,101.400002,101.839996,101.360001,101.610001,101.610001,0
2023-05-10,101.620003,101.809998,101.220001,101.480003,101.480003,0
